"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","","0","Flipkart E2E Flows","0","0","Cart persists product after page refresh","0"
"0","","0","Flipkart E2E Flows","1","0","Homepage banners are displayed","0"
"2","","0","Flipkart E2E Flows","8","0","Search handles all boundary and security input cases","0"
"0","","0","Flipkart E2E Flows","1","0","User can remove a product from cart","0"
"0","","1","Flipkart E2E Flows","0","0","Guest user can browse without login","0"
"0","","0","Flipkart E2E Flows","1","0","User can add a product to cart from PDP","0"
"0","","1","Flipkart E2E Flows","0","0","User can navigate to Flipkart home via logo","0"
"0","","0","Flipkart E2E Flows","1","0","User can sort results by popularity","0"
"0","","0","Flipkart E2E Flows","1","0","Search with invalid term shows no results message","0"
"1","","0","Flipkart E2E Flows","0","0","User can sort results by price low to high","0"
"1","","0","Flipkart E2E Flows","0","0","Product ratings and reviews section is visible","0"
"0","","0","Flipkart E2E Flows","1","0","Product images are displayed on PDP","0"
"1","","0","Flipkart E2E Flows","0","0","User can proceed to checkout from cart","0"
"1","","0","Flipkart E2E Flows","0","0","Search for a valid product returns results","0"
"1","","0","Flipkart E2E Flows","0","0","Search suggestions appear on partial input","0"
"0","","0","Flipkart E2E Flows","1","0","User can open a product detail page","0"
"1","","0","Flipkart E2E Flows","0","0","User can filter search results by brand","0"
