"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2739","Homepage banners are displayed","","2026-09-11","passed","2026-09-11","","Flipkart E2E Flows","Homepage banners are displayed",""
"","4476","Search handles all boundary and security input cases","","2026-09-11","passed","2026-09-11","","Flipkart E2E Flows","Search handles all boundary and security input cases",""
"","4741","Search handles all boundary and security input cases","","2026-09-11","passed","2026-09-11","","Flipkart E2E Flows","Search handles all boundary and security input cases",""
"","4482","Search handles all boundary and security input cases","","2026-09-11","passed","2026-09-11","","Flipkart E2E Flows","Search handles all boundary and security input cases",""
"","86801","User can remove a product from cart","","2026-09-11","broken","2026-09-11","","Flipkart E2E Flows","User can remove a product from cart",""
"","4520","User can sort results by price low to high","","2026-09-11","passed","2026-09-11","","Flipkart E2E Flows","User can sort results by price low to high",""
"","202060","Search handles all boundary and security input cases","","2026-09-11","broken","2026-09-11","","Flipkart E2E Flows","Search handles all boundary and security input cases",""
"","4499","User can sort results by popularity","","2026-09-11","passed","2026-09-11","","Flipkart E2E Flows","User can sort results by popularity",""
"","3469","Search suggestions appear on partial input","","2026-09-11","passed","2026-09-11","","Flipkart E2E Flows","Search suggestions appear on partial input",""
"","8656","Product ratings and reviews section is visible","","2026-09-11","passed","2026-09-11","","Flipkart E2E Flows","Product ratings and reviews section is visible",""
"","4890","Search handles all boundary and security input cases","","2026-09-11","passed","2026-09-11","","Flipkart E2E Flows","Search handles all boundary and security input cases",""
"","7294","User can open a product detail page","","2026-09-11","passed","2026-09-11","","Flipkart E2E Flows","User can open a product detail page",""
"","5440","User can filter search results by brand","","2026-09-11","passed","2026-09-11","","Flipkart E2E Flows","User can filter search results by brand",""
"","300532","User can navigate to Flipkart home via logo","","2026-09-11","broken","2026-09-11","","Flipkart E2E Flows","User can navigate to Flipkart home via logo",""
"","27714","User can add a product to cart from PDP","","2026-09-11","broken","2026-09-11","","Flipkart E2E Flows","User can add a product to cart from PDP",""
"","4949","Search handles all boundary and security input cases","","2026-09-11","passed","2026-09-11","","Flipkart E2E Flows","Search handles all boundary and security input cases",""
"","196257","Product images are displayed on PDP","","2026-09-11","broken","2026-09-11","","Flipkart E2E Flows","Product images are displayed on PDP",""
"","4970","Search with invalid term shows no results message","","2026-09-11","passed","2026-09-11","","Flipkart E2E Flows","Search with invalid term shows no results message",""
"","64863","Guest user can browse without login","","2026-09-11","passed","2026-09-11","","Flipkart E2E Flows","Guest user can browse without login",""
"","2998","Search handles all boundary and security input cases","","2026-09-11","passed","2026-09-11","","Flipkart E2E Flows","Search handles all boundary and security input cases",""
"","4463","Search handles all boundary and security input cases","","2026-09-11","passed","2026-09-11","","Flipkart E2E Flows","Search handles all boundary and security input cases",""
"","4629","Search handles all boundary and security input cases","","2026-09-11","passed","2026-09-11","","Flipkart E2E Flows","Search handles all boundary and security input cases",""
"","4954","Search for a valid product returns results","","2026-09-11","passed","2026-09-11","","Flipkart E2E Flows","Search for a valid product returns results",""
"","65900","Search handles all boundary and security input cases","","2026-09-11","passed","2026-09-11","","Flipkart E2E Flows","Search handles all boundary and security input cases",""
"","300541","User can proceed to checkout from cart","","2026-09-11","broken","2026-09-11","","Flipkart E2E Flows","User can proceed to checkout from cart",""
"","27632","Cart persists product after page refresh","","2026-09-11","broken","2026-09-11","","Flipkart E2E Flows","Cart persists product after page refresh",""
